"date","open","high","low","close","volume","adjusted_close","change_percent","avg_vol_20d"
2010-07-27,1.394,1.412,1.35066,1.37,9295125,20.55,-1.91,74326218.5
2010-07-28,1.37,1.39334,1.36734,1.38134,7007745,20.7195,0.82,60589147.1
2010-07-29,1.38466,1.392,1.33334,1.35666,9238650,20.3505,-1.78,48155285.4
2010-07-30,1.34666,1.36266,1.30334,1.32934,6402450,19.9395,-2.02,42303010.9
2010-08-02,1.36666,1.398,1.35554,1.39466,10787175,20.9205,4.92,38986014.55
2010-08-03,1.4,1.46334,1.388,1.46334,18465330,21.9495,4.92,34749810
2010-08-04,1.46334,1.47866,1.39,1.41734,13811325,21.2595,-3.14,30246691.7
2010-08-05,1.436,1.43666,1.33666,1.36334,11945685,20.4495,-3.81,25054321.9
2010-08-06,1.34,1.344,1.30134,1.306,11132070,19.59,-4.2,22566971.05
2010-08-09,1.32666,1.332,1.29666,1.30666,12189825,19.6005,0.05,21523785.55
2010-08-10,1.31,1.31,1.25466,1.26866,19219275,19.0305,-2.91,20474705.1
2010-08-11,1.246,1.25866,1.19,1.19334,11964735,17.8995,-5.94,17925860.2
2010-08-12,1.18666,1.19334,1.15934,1.17334,10369215,17.5995,-1.68,15635348.3
2010-08-13,1.212,1.23,1.17736,1.22134,9517695,18.3195,4.09,14145325.65
2010-08-16,1.23,1.25334,1.21744,1.252,7293165,18.78,2.51,12645117.25
2010-08-17,1.264,1.29334,1.252,1.27666,6718215,19.1505,1.97,11612104.8
2010-08-18,1.306,1.306,1.24,1.25134,9019980,18.7695,-1.99,11123022.35
2010-08-19,1.236,1.28334,1.222,1.25266,8686230,18.7905,0.11,10835575.15
2010-08-20,1.24334,1.274,1.234,1.27334,4462485,19.0995,1.64,10568162.65
2010-08-23,1.27266,1.35928,1.26666,1.342,16320420,20.13,5.4,10692344.65
2010-08-24,1.28334,1.314,1.26334,1.28,10096110,19.2,-4.62,10732393.9
2010-08-25,1.27734,1.332,1.23734,1.32666,7549335,19.9005,3.65,10759473.4
